exercise_id,exercise_name_ko,exercise_name_en,primary_joint,joint_motion,rom_min_deg,rom_max_deg,kinetic_chain,load_source,contraction_type,strain_load_dependent,graft_site_involved,acl_strain_level,injury_mechanism_risk,min_phase,phase_rationale,source,notes,status
EX001,대퇴사두근 등척성 운동,Quadriceps set,knee,knee extension,0,0,isometric,none,isometric,N,N,low,none,I,수술직후 등척성 허용,Brigham,등척성이라 사슬 무관; 관절 미가동으로 전단력 규칙 제외,draft
EX002,발목 펌프,Ankle pump,ankle,ankle dorsiflexion + plantarflexion,,,open,bodyweight,dynamic,N,N,low,none,I,순환목적 즉시허용,curated,무릎ROM 무관(발목운동); ACL부하 없음,draft
EX003,하지 직거상,Straight leg raise,hip,hip flexion,,,open,bodyweight,dynamic,N,N,low,none,I,신전지연 없으면 허용,Brigham,무릎 0도 고정한 채 고관절 굴곡; ROM 무관,draft
EX004,발뒤꿈치 밀기,Heel slide,knee,knee flexion,0,90,closed,bodyweight,dynamic,N,Y,low,none,I,Phase I 굴곡 90도 제한,Brigham,0-90도 굴곡ROM 회복,draft
EX005,능동 무저항 슬굴근 컬,Active knee flexion (no resistance),knee,knee flexion,0,90,open,bodyweight,dynamic,N,Y,low,none,I,무저항 능동굴곡 조기허용,Brigham,체중부하 없는 능동굴곡; 공여부 저부하,draft
EX006,옆으로누워 조개운동,Clamshell,hip,hip external rotation,,,open,band,dynamic,N,N,low,none,I,ACL부하 낮음 조기허용,curated,무릎ROM 무관(고관절운동); 사슬 논쟁적,draft
EX007,옆으로누워 고관절 외전,Side-lying hip abduction,hip,hip abduction,,,open,bodyweight,dynamic,N,N,low,none,I,ACL부하 낮음 조기허용,curated,무릎ROM 무관(고관절운동),draft
EX008,단축범위 대퇴사두근 신전,Short arc quad,knee,knee extension,0,30,open,bodyweight,dynamic,N,N,moderate,none,II,종말신전 구간 저부하 OKC,Escamilla2012,0-30도 개방사슬; 10-30도 ACL부하 구간 포함,draft
EX009,미니 스쿼트,Mini squat,knee,knee extension,0,45,closed,bodyweight,dynamic,N,N,low,none,II,Phase II CKC 안전구간,Escamilla2012,0-45도 폐쇄사슬,draft
EX010,월 싯(벽 스쿼트),Wall sit,knee,knee extension,0,60,closed,bodyweight,isometric,N,N,low,none,II,Phase II CKC 등척성,Brigham,0-60도 벽지지 등척성 유지,draft
